,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
212,2022-02-27,37709.78,39105.15,39214.22,38332.61,37296.57,38286.03,37075.28,38431.38,17467554129,44,33
213,2022-02-28,43193.23,37709.78,39105.15,39214.22,38332.61,37296.57,38286.03,37075.28,23450127612,44,32
214,2022-03-01,44354.64,43193.23,37709.78,39105.15,39214.22,38332.61,37296.57,38286.03,35690014104,55,38
215,2022-03-02,43924.12,44354.64,43193.23,37709.78,39105.15,39214.22,38332.61,37296.57,32479047645,60,45
216,2022-03-03,42451.79,43924.12,44354.64,43193.23,37709.78,39105.15,39214.22,38332.61,29183112630,53,40
217,2022-03-04,39137.6,42451.79,43924.12,44354.64,43193.23,37709.78,39105.15,39214.22,24967782593,47,38
218,2022-03-05,39400.58,39137.6,42451.79,43924.12,44354.64,43193.23,37709.78,39105.15,28516271427,46,36
219,2022-03-06,38419.98,39400.58,39137.6,42451.79,43924.12,44354.64,43193.23,37709.78,16975917450,40,31
220,2022-03-07,38062.04,38419.98,39400.58,39137.6,42451.79,43924.12,44354.64,43193.23,19745229902,39,32
221,2022-03-08,38737.27,38062.04,38419.98,39400.58,39137.6,42451.79,43924.12,44354.64,28546143503,46,36
222,2022-03-09,41982.93,38737.27,38062.04,38419.98,39400.58,39137.6,42451.79,43924.12,25776583476,43,39
223,2022-03-10,39437.46,41982.93,38737.27,38062.04,38419.98,39400.58,39137.6,42451.79,32284121034,50,48
224,2022-03-11,38794.97,39437.46,41982.93,38737.27,38062.04,38419.98,39400.58,39137.6,31078064711,45,42
225,2022-03-12,38904.01,38794.97,39437.46,41982.93,38737.27,38062.04,38419.98,39400.58,26364890465,41,38
226,2022-03-13,37849.66,38904.01,38794.97,39437.46,41982.93,38737.27,38062.04,38419.98,14616450657,35,35
227,2022-03-14,39666.76,37849.66,38904.01,38794.97,39437.46,41982.93,38737.27,38062.04,17300745310,34,29
228,2022-03-15,39338.79,39666.76,37849.66,38904.01,38794.97,39437.46,41982.93,38737.27,24322159070,39,34
229,2022-03-16,41143.93,39338.79,39666.76,37849.66,38904.01,38794.97,39437.46,41982.93,23934000868,37,35
230,2022-03-17,40951.38,41143.93,39338.79,39666.76,37849.66,38904.01,38794.97,39437.46,39616916192,37,35
231,2022-03-18,41801.15,40951.38,41143.93,39338.79,39666.76,37849.66,38904.01,38794.97,22009601093,36,36
232,2022-03-19,42190.65,41801.15,40951.38,41143.93,39338.79,39666.76,37849.66,38904.01,34421564942,35,34
233,2022-03-20,41247.82,42190.65,41801.15,40951.38,41143.93,39338.79,39666.76,37849.66,19664853187,33,33
